name,age,country,Ovr,BAT Ovr,Bowl Ovr,B-IQ,Tech,PWR,RUN,ECON,WKT,ACC,CLTH
Andre Russell,33,West Indies,92,85,77,73,86,97,59,68,87,100,54
Tim David,25,Singapore,82,81,40,60,85,96,77,41,43,44,18
Kieron Pollard,34,West Indies,90,84,71,70,88,94,74,65,72,99,61
Asif Ali,30,Pakistan,83,82,38,70,84,94,61,30,32,70,63
Evin Lewis,30,West Indies,84,84,31,81,86,92,41,29,32,36,27
Nicholas Pooran,26,West Indies,84,84,30,78,83,92,73,29,32,32,25
Fabian Allen,26,West Indies,88,78,78,66,77,91,67,75,79,84,78
Chris Gayle,42,West Indies,84,82,46,79,83,90,32,42,45,96,20
Hardik Pandya,28,India,90,84,74,80,84,89,75,72,78,71,65
Romario Shepherd,27,West Indies,85,74,74,58,77,89,46,71,79,61,78
Haris Rauf,28,Pakistan,89,63,85,38,62,89,36,81,88,91,78
Dasun Shanaka,30,Sri Lanka,86,83,58,81,84,88,52,52,60,59,69
Rovman Powell,28,West Indies,83,81,45,76,79,88,72,42,47,36,59
Colin de Grandhomme,35,New Zealand,87,82,64,75,84,88,68,55,61,91,86
Hasan Ali,27,Pakistan,90,72,84,54,73,88,53,83,89,61,89
Glenn Phillips,25,New Zealand,87,86,40,86,87,87,74,34,37,82,34
Liam Livingstone,28,England,86,84,48,82,86,87,64,51,57,20,25
Thisara Perera,32,Sri Lanka,88,80,75,73,82,87,66,70,85,76,56
Delray Rawlins,24,Bermuda,87,83,62,79,84,86,73,54,58,91,79
Rashid Khan,23,Afghanistan,95,69,92,53,70,86,46,95,90,75,100
Hazratullah Zazai,23,Afghanistan,77,76,30,72,77,85,35,29,32,19,33
Harsh Thaker,24,Canada,81,73,66,56,79,85,64,70,60,46,97
Mohammad Wasim,20,Pakistan,88,65,83,48,61,85,47,79,86,95,78
Glenn Maxwell,33,Australia,90,86,64,85,90,84,75,66,71,44,50
Sherfane Rutherford,23,West Indies,78,76,41,71,76,84,57,34,37,67,61
Abdul Samad,20,India,79,78,38,71,79,84,76,36,38,65,22
Azam Khan,23,Pakistan,77,76,31,68,78,84,50,28,31,44,30
Faheem Ashraf,28,Pakistan,88,72,81,61,73,84,51,80,85,46,100
Carlos Brathwaite,33,West Indies,88,72,81,61,70,84,59,78,83,94,71
Sunil Narine,33,West Indies,93,69,89,55,73,84,32,85,88,100,94
Rishabh Pant,24,India,86,86,30,87,90,83,84,29,32,34,24
Tristan Stubbs,21,South Africa,80,79,31,77,83,83,48,35,34,27,10
David Willey,31,England,88,78,77,73,81,83,63,77,84,42,87
Rahmanullah Gurbaz,20,Afghanistan,75,74,35,70,71,83,61,29,32,40,64
Pat Cummins,28,Australia,88,71,81,61,70,83,49,82,87,85,48
Jordan Thompson,25,England,80,70,69,55,72,83,59,65,71,61,88
Tiaan van Vuuren,20,South Africa,78,69,67,55,69,83,56,62,57,93,97
Seekkuge Prasanna,36,Sri Lanka,81,68,72,52,69,83,54,71,70,59,93
Karan KC,30,Nepal,75,66,65,48,66,83,47,70,67,70,34
Odean Smith,25,West Indies,76,64,68,45,61,83,54,72,78,30,54
Pankaj Jaswal,26,India,82,63,76,42,65,83,37,75,79,54,89
David Miller,32,South Africa,87,86,39,90,87,82,85,29,32,83,59
Avishka Fernando,23,Sri Lanka,81,80,32,80,82,82,46,29,32,11,66
Chris Lynn,31,Australia,80,80,29,79,83,82,46,30,32,19,20
Khushdil Shah,27,Pakistan,81,79,49,78,80,82,64,44,47,67,59
Shadab Khan,23,Pakistan,92,76,86,69,77,82,63,83,88,79,93
Ben Cutting,35,Australia,80,74,62,65,75,82,68,65,68,57,30
Deepak Chahar,29,India,87,63,83,47,61,82,40,81,85,94,74
Mukhtar Hussain,23,India,77,54,73,27,53,82,17,69,71,75,93
MS Dhoni,40,India,85,84,37,88,84,81,89,29,32,57,71
Jos Buttler,31,England,86,86,31,88,90,81,84,29,32,17,48
Martin Guptill,35,New Zealand,84,83,32,86,85,81,73,30,32,36,40
Shimron Hetmyer,25,West Indies,82,81,38,82,81,81,69,29,32,82,52
Finn Allen,22,New Zealand,84,83,33,82,91,81,64,29,31,52,34
