name,age,country,intMatches,matches,batInns,notOuts,runs,ballsFaced,foursScored,sixesScored,catches&stumpings,bowlInns,ballsBowled,runsConceded,wickets
Aarif Sheikh,24,Nepal,19,20,15,2,283,266,25,4,7,3,24,21,2
Aasif Sheikh,21,Nepal,10,10,10,1,229,179,21,12,11,0,0,0,0
Dipendra Singh Airee,22,Nepal,31,31,27,5,713,557,58,21,14,9,132,128,8
Kamal Airee,21,Nepal,6,6,2,0,14,13,1,1,0,6,133,146,10
Binod Bhandari,32,Nepal,35,48,39,9,478,422,33,22,22,0,0,0,0
Sushan Bhari,26,Nepal,9,9,5,3,1,7,0,0,0,9,168,211,8
Kushal Bhurtel,25,Nepal,8,8,8,2,402,278,39,18,8,0,0,0,0
Abinash Bohara,24,Nepal,28,28,8,4,20,23,1,1,6,27,554,620,29
Karan KC,30,Nepal,33,35,21,6,228,150,9,20,10,35,690,868,44
Kushal Malla,17,Nepal,12,12,10,3,170,116,13,12,4,8,114,114,4
Sandeep Lamichhane,21,Nepal,31,120,34,19,104,118,4,2,17,119,2641,3038,160
Gyanendra Malla,31,Nepal,37,60,54,4,1112,987,93,40,29,1,1,4,0
Sompal Kami,26,Nepal,33,38,23,9,225,196,17,8,11,37,696,787,35
Sean Abbott,29,Australia,7,108,65,17,564,510,33,22,65,106,2039,2886,134
Ashton Agar,28,Australia,42,126,93,26,1141,987,78,44,66,118,2358,2806,108
Wes Agar,25,Australia,0,39,13,7,46,47,3,0,3,39,799,1163,49
Justin Avendano,28,Australia,0,19,17,0,251,223,17,14,0,0,0,0,0
Cameron Bancroft,29,Australia,1,79,72,15,1692,1395,125,37,39,0,0,0,0
Xavier Bartlett,23,Australia,0,23,11,6,154,124,16,3,7,22,409,567,23
James Bazley,26,Australia,0,20,19,6,216,164,15,10,5,18,317,434,15
Jason Behrendorff,31,Australia,9,94,21,12,97,95,7,1,35,92,1956,2380,106
Nicholas Bertus,28,Australia,0,2,2,0,19,22,0,0,0,0,0,0,0
Jackson Bird,35,Australia,0,78,22,13,76,92,2,1,33,77,1527,1932,65
Scott Boland,32,Australia,3,62,23,16,71,81,7,0,8,62,1369,1902,75
Cameron Boyce,32,Australia,7,88,40,14,277,231,17,16,13,87,1828,2302,97
Max Bryant,22,Australia,0,48,48,2,1012,763,116,33,23,0,0,0,0
Joe Burns,32,Australia,0,86,81,13,1594,1339,110,59,31,8,54,71,3
Jake Carder,26,Australia,0,1,1,0,10,13,0,0,0,0,0,0,0
Alex Carey,30,Australia,38,103,89,10,2229,1749,211,62,89,0,0,0,0
Hilton Cartwright,30,Australia,0,78,70,18,1490,1198,111,59,33,12,104,208,4
Dan Christian,38,Australia,23,380,327,88,5540,3990,364,276,171,333,5607,7864,272
Jack Clayton,22,Australia,0,2,2,0,21,23,4,0,0,0,0,0,0
Harry Conway,29,Australia,0,18,3,1,8,10,0,0,1,18,386,525,16
Brody Couch,22,Australia,0,14,5,2,12,20,1,0,2,14,258,353,16
Nathan Coulter-Nile,34,Australia,28,145,79,29,668,504,47,40,46,142,3087,3981,170
Xavier A Crone,24,Australia,0,2,1,0,1,4,0,0,0,2,18,29,0
Pat Cummins,28,Australia,39,112,60,26,582,435,33,33,27,112,2503,3255,125
Ben Cutting,35,Australia,7,194,163,43,2718,1838,177,171,90,167,2818,4239,130
